address,latitude,longitude
San Francisco Bay Area,37.7884969,-122.3558473
,NaN,NaN
"London, England, Islington, Borough of Hackney, Bouverie Mews No 7",51.5625709,-0.0788484
"Cincinnati, Ohio, USA",39.1014537,-84.5124602
"Auckland, Auckland, New Zealand",-36.852095,174.7631803
"Toronto, Ontario, Canada",43.6534817,-79.3839347
"Okehampton, England, United Kingdom",50.7376667,-4.000316
"San Diego, California, USA",32.7174202,-117.162772
"Austin, Texas, USA",30.2711286,-97.7436995
"Heilbad Heiligenstadt, Thuringia, Germany",51.3756186,10.138224
"Chicago, United States of America",41.8755616,-87.6244212
"Genf, Genf, Switzerland",46.2017559,6.1466014
"Malmo, Skane Lan, Sweden",55.6052931,13.0001566
"London, England, UK",51.5074456,-0.1277653
"London, UK",51.5074456,-0.1277653
"Washington DC, USA",38.8950368,-77.0365427
"Vejle, Syddanmark, Denmark",55.7066917,9.5365649
"Stanford, Kalifornien, USA",37.426540700000004,-122.17030545534064
"Wimberley, Texas, United States",29.9976807,-98.0987896
"Detroit, Michigan, USA",42.3315509,-83.0466403
"Chapel Hill, Nord-Carolina, USA",35.9131542,-79.05578
"Bolzano, Italy",46.655945450000004,11.23021287087526
"Manchester, UK",53.4794892,-2.2451148
"New York, New York, USA",40.7127281,-74.0060152
"Helsinki, Uusimaa, Finland",60.1674881,24.9427473
"Kitchener-Cambridge-Waterloo, Canada",43.415134,-80.40581047235376
"Berlin, Berlin, Germany",52.5103817,13.4349112
"Bristol, UK",51.4538022,-2.5972985
"Albany, New York, United States",42.6511674,-73.754968
"Eindhoven, North Brabant, Netherlands",51.4392648,5.478633
"New York, New York, United States",40.7127281,-74.0060152
"St Paul, Minnesota, United States",44.9497487,-93.0931028
"London, England, United Kingdom",51.5074456,-0.1277653
"Trumbull, Connecticut, United States",41.2428742,-73.2006687
"Islington, England, United Kingdom",51.5384287,-0.0999051
"Surrey, British Columbia, Canada",49.1913033,-122.849143
"Nuremberg, Bavaria, Germany",49.453872,11.077298
"Grasse, France",43.6589011,6.9239103
"Fremantle, Western Australia, Australia",-32.0534086,115.7586172
"Charlottesville, Virginia, United States",38.029306,-78.4766781
"Yorkshire, United Kingdom",53.9825271,-1.3852499932684972
"Albuquerque, New Mexico Area",35.1357749,-106.5160794
"Victoria, British Columbia, Canada",48.4283182,-123.364953
"Colorado Springs, CO, USA",38.8339578,-104.825348
"Albuquerque, New Mexico, United States",35.0841034,-106.650985
"Charlotte, North Carolina, United States",35.2272086,-80.8430827
"Vienna, Vienna, Austria",48.1857192,16.4221587
"San Francisco, California, United States",37.7792588,-122.4193286
"Calgary, Alberta, Canada",51.0456064,-114.057541
"Isen, Germany",48.274057,12.2924528
"Calumet, Michigan, United States",47.246592,-88.454006
"Newport, England, United Kingdom",50.7003707,-1.2952039
"Vancouver, British Columbia, Canada",49.2608724,-123.113952
"Seattle, Washington, United States",47.6038321,-122.330062
"Stanford, California, United States",37.426540700000004,-122.17030545534064
"Grand Ledge, MI, USA",42.7524401,-84.7463572
"Winchester, England, United Kingdom",51.0612766,-1.3131692
South Africa,-28.8166236,24.991639
"Waterloo, Ontario, Canada",43.4652699,-80.5222961
"Toronto, Ontario, Kanada",43.6534817,-79.3839347
"Vevey, Vaud, Switzerland",46.4602978,6.8418655
"Bonn, North Rhine-Westphalia, Germany",50.735851,7.10066
Greater Melbourne Area,-37.974834200000004,145.23180665471432
"Norwich, England, United Kingdom",52.6285576,1.2923954
"Washington, District of Columbia, United States",38.8950368,-77.0365427
"Prague, Czech Republic",50.0596288,14.446459273258009
Greater Boston,42.28995,-71.07146
"Irvine, California, United States",33.6856969,-117.825981
"Fort Collins, Colorado, United States",40.5871782,-105.0770113
"Sidmouth, England, United Kingdom",50.6790033,-3.237657
"Knoxville, Tennessee, United States",35.9603948,-83.9210261
"Salem, Oregon, United States",44.9391565,-123.033121
"Berlin, Germany",52.510885,13.3989367
"Prague, Czechia",50.0596288,14.446459273258009
"Schenectady, New York, United States",42.8142432,-73.9395687
"Dublin, Ireland",53.3493795,-6.2605593
"Lafayette, Indiana, United States",40.4191229,-86.8919011
"Camaiore, Tuscany, Italy",43.9380611,10.3039553
"Harpenden, United Kingdom",51.8145103,-0.3549311
"Iowa City, Iowa, United States",41.6612561,-91.5299106
"Leuven, Flemish Region, Belgium",50.879202,4.7011675
"Centreville, Virginia, United States",38.84487,-77.43540260778344
"Berea, Ohio, United States",41.3661614,-81.8543026
"Saranac Lake, New York, United States",44.329497,-74.131279
"Austin, Texas, United States",30.2711286,-97.7436995
"Fredericton, New Brunswick, Canada",45.963233,-66.6432356
"Gaithersburg, Maryland, United States",39.1399187,-77.1929215
"Crested Butte, Colorado, United States",38.8698201,-106.984043
"Columbia, Missouri, United States",38.951883,-92.3337366
"Espoo, Uusimaa, Finland",60.2047672,24.6568435
"San Antonio, Texas",29.4246002,-98.4951405
"Barangaroo, New South Wales, Australia",-33.8614084,151.2016877
"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974
"Philadelphia, Pennsylvania, United States",39.9527237,-75.1635262
"Rotterdam, South Holland, Netherlands",51.9244424,4.47775
"Denver, Colorado, United States",39.7392364,-104.984862
"Amsterdam, Netherlands",52.3730796,4.8924534
"Burlington, Ontario, Canada",43.3248924,-79.7966835
"Sacramento, California, United States",38.5810606,-121.493895
"Liverpool, England, UK",53.4071991,-2.99168
"East Lansing, Michigan, United States",42.7320307,-84.4721678
"Bristol, England, UK",51.4538022,-2.5972985
"Cracow, Malopolskie, Poland",50.0606452,19.9370985
"Munich, Bavaria, Germany",48.1371079,11.5753822
"Brooklyn, New York, United States",40.6526006,-73.9497211
"Kitchener, Ontario, Canada",43.451291,-80.4927815
"Litomysl, Pardubice, Czechia",49.8725491,16.3101243
"Ljubljana, Slovenia",46.0500268,14.5069289
"Taunton, England, United Kingdom",51.0147895,-3.1029086
"Cambridge, Massachusetts, United States",42.3656347,-71.1040018
